ProductID,ProductName,Category,SubCategory,Brand,PriceUSD,StockQty,Rating,UnitsSold,Description,Revenue,LowStock,SalesLevel,PriceRange
GRN-1001,Adjustable Wrench,Compressed Air,Compressors,3M,284.82,222,3.7,3714,3M Compressors product suitable for industrial use.,1057821.48,False,High,High
GRN-1002,Air Filter 16x25x1,Power Tools,Screwdrivers,Zep,218.78,408,4.8,4515,Zep Screwdrivers product suitable for industrial use.,987791.7,False,High,Medium
GRN-1003,Ladder 6ft Fiberglass,Lighting,Work Lights,Bosch,344.93,300,4.2,1787,Bosch Work Lights product suitable for industrial use.,616389.91,False,Medium,High
GRN-1004,Safety Gloves - Large,Plumbing,Pipe Tools,Zep,44.44,259,4.0,3995,Zep Pipe Tools product suitable for industrial use.,177537.8,False,High,Low
GRN-1005,Safety Gloves - Large,Electrical,Circuit Protection,Grainger,131.55,468,4.3,3213,Grainger Circuit Protection product suitable for industrial use.,422670.15,False,High,Medium
GRN-1006,Pipe Wrench,Safety Equipment,Fire Safety,Werner,49.33,171,3.6,1054,Werner Fire Safety product suitable for industrial use.,51993.82,False,Low,Low
GRN-1007,Portable Air Compressor,Ladders & Scaff.,Step Ladders,Werner,181.92,477,4.8,2041,Werner Step Ladders product suitable for industrial use.,371298.72,False,Medium,Medium
GRN-1008,"Tool Bag 18""",Footwear,Work Boots,Zep,394.78,394,4.8,1508,Zep Work Boots product suitable for industrial use.,595328.24,False,Medium,High
GRN-1009,LED Work Light,Lighting,Work Lights,DeWalt,136.82,403,4.2,3757,DeWalt Work Lights product suitable for industrial use.,514032.74,False,High,Medium
GRN-1010,Oil-Resistant Boots,Ladders & Scaff.,Step Ladders,Eaton,154.12,480,4.0,1805,Eaton Step Ladders product suitable for industrial use.,278186.60000000003,False,Medium,Medium
GRN-1011,Oil-Resistant Boots,Plumbing,Pipe Tools,Bosch,304.29,74,3.5,2644,Bosch Pipe Tools product suitable for industrial use.,804542.76,False,Medium,High
GRN-1012,Adjustable Wrench,Plumbing,Pipe Tools,Werner,56.11,101,3.7,2384,Werner Pipe Tools product suitable for industrial use.,133766.24,False,Medium,Low
GRN-1013,Extension Cord 50ft,Compressed Air,Compressors,Bosch,31.46,98,4.5,2605,Bosch Compressors product suitable for industrial use.,81953.3,False,Medium,Low
GRN-1014,Fire Extinguisher ABC,Compressed Air,Compressors,DeWalt,88.73,324,4.7,3033,DeWalt Compressors product suitable for industrial use.,269118.09,False,High,Low
GRN-1015,LED Work Light,Safety Equipment,Hand Protection,Zep,328.04,78,4.5,809,Zep Hand Protection product suitable for industrial use.,265384.36000000004,False,Low,High
GRN-1016,Oil-Resistant Boots,Footwear,Work Boots,Ansell,196.27,115,4.7,817,Ansell Work Boots product suitable for industrial use.,160352.59,False,Low,Medium
GRN-1017,"Industrial Fan 24""",Footwear,Work Boots,Werner,488.48,271,4.4,4849,Werner Work Boots product suitable for industrial use.,2368639.52,False,High,High
GRN-1018,Heavy Duty Drill,Power Tools,Wrenches,3M,317.27,107,4.8,1059,3M Wrenches product suitable for industrial use.,335988.93,False,Low,High
GRN-1019,LED Work Light,Plumbing,Pipe Tools,Zep,292.51,412,4.9,1374,Zep Pipe Tools product suitable for industrial use.,401908.74,False,Low,High
GRN-1020,Circuit Breaker 20A,HVAC,Ventilation Fans,Kidde,455.94,416,3.8,3345,Kidde Ventilation Fans product suitable for industrial use.,1525119.3,False,High,High
GRN-1021,Heavy Duty Drill,Ladders & Scaff.,Step Ladders,Timberland PRO,406.02,162,4.4,2331,Timberland PRO Step Ladders product suitable for industrial use.,946432.62,False,Medium,High
